Tool IDs,Sample ID,Angle,Filepath,Lights,Make,Model,Flash,ISO,Exposure,Aperture,Focal length (mm),Time Taken,Image ID,Capture Session ID
0,0,0,images/0/IMG_8585.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,4000,1/15,1.78,6.765,2026-09-01T19:51:50.430-04:00,image-241ea1b4d217d125,session-2026-09-01-005
0,0,45,images/0/IMG_8586.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,3200,1/15,1.78,6.765,2026-09-01T19:52:19.666-04:00,image-7d5a24cb4a7e30a4,session-2026-09-01-005
0,0,90,images/0/IMG_8588.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,2500,1/15,1.78,6.765,2026-09-01T19:53:04.191-04:00,image-b30e43e06066f659,session-2026-09-01-005
0,0,135,images/0/IMG_8589.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,3200,1/15,1.78,6.765,2026-09-01T19:53:30.537-04:00,image-03fd859217391918,session-2026-09-01-005
0,0,180,images/0/IMG_8590.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,3200,1/15,2.2,2.22,2026-09-01T19:53:52.647-04:00,image-75c6191b19b1d8fd,session-2026-09-01-005
0,0,225,images/0/IMG_8591.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,4000,1/15,1.78,6.765,2026-09-01T19:54:31.506-04:00,image-3ebefc2965298abf,session-2026-09-01-005
0,0,270,images/0/IMG_8594.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,4000,1/15,1.78,6.765,2026-09-01T19:56:17.350-04:00,image-24ae4d8eac215d46,session-2026-09-01-005
0,0,315,images/0/IMG_8595.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,5000,1/15,1.78,6.765,2026-09-01T20:00:03.672-04:00,image-c92984aa153892de,session-2026-09-01-005
0,1,0,images/0/IMG_8624.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:18:28.183-04:00,image-bbaec2e74ea8bbf3,session-2026-09-01-005
0,1,45,images/0/IMG_8625.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:18:45.677-04:00,image-e3e05fd88b6fc50c,session-2026-09-01-005
0,1,90,images/0/IMG_8626.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:18:53.295-04:00,image-209891f5c4d32653,session-2026-09-01-005
0,1,135,images/0/IMG_8627.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:19:05.227-04:00,image-1f50bf2bf7b2af1a,session-2026-09-01-005
0,1,180,images/0/IMG_8628.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:19:17.344-04:00,image-7f20c1bca2ead4df,session-2026-09-01-005
0,1,225,images/0/IMG_8629.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:19:26.966-04:00,image-aea2257e6547993a,session-2026-09-01-005
0,1,270,images/0/IMG_8630.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:19:36.463-04:00,image-3f7c0497a58fe56d,session-2026-09-01-005
0,1,315,images/0/IMG_8631.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:19:45.633-04:00,image-5238bb90ca1ff424,session-2026-09-01-005
1,2,0,images/1/IMG_8599.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,6400,1/15,1.78,6.765,2026-09-01T20:05:46.166-04:00,image-a43667a200299edc,session-2026-09-01-005
1,2,45,images/1/IMG_8600.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,8000,1/15,1.78,6.765,2026-09-01T20:05:59.455-04:00,image-8f54f30e6bfd2f3f,session-2026-09-01-005
1,2,90,images/1/IMG_8602.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,8000,1/15,1.78,6.765,2026-09-01T20:06:23.792-04:00,image-cc2603f4d5bc12b7,session-2026-09-01-005
1,2,135,images/1/IMG_8603.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,10000,1/15,1.78,6.765,2026-09-01T20:06:46.456-04:00,image-74db4150484d9b88,session-2026-09-01-005
1,2,180,images/1/IMG_8604.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,10000,1/15,1.78,6.765,2026-09-01T20:07:03.191-04:00,image-aebe57e80c846110,session-2026-09-01-005
1,2,225,images/1/IMG_8605.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,10000,1/15,1.78,6.765,2026-09-01T20:07:17.823-04:00,image-5161c4faa76be42c,session-2026-09-01-005
1,2,270,images/1/IMG_8606.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,8000,1/15,1.78,6.765,2026-09-01T20:07:28.358-04:00,image-807addc1c1768225,session-2026-09-01-005
1,2,315,images/1/IMG_8607.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,10000,1/15,1.78,6.765,2026-09-01T20:07:38.860-04:00,image-2ee3076a168c8588,session-2026-09-01-005
1,3,0,images/1/IMG_8633.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:21:14.942-04:00,image-858a95501596f0f3,session-2026-09-01-005
1,3,45,images/1/IMG_8634.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:21:31.038-04:00,image-8493587800f6243c,session-2026-09-01-005
1,3,90,images/1/IMG_8635.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:21:49.523-04:00,image-9cb34f66c8bca33d,session-2026-09-01-005
1,3,135,images/1/IMG_8637.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:22:22.165-04:00,image-0d3b779ed66d7fd6,session-2026-09-01-005
1,3,180,images/1/IMG_8638.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:22:36.170-04:00,image-4c71241c5f2b8d5c,session-2026-09-01-005
1,3,225,images/1/IMG_8639.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:22:58.374-04:00,image-ff97c522003b8627,session-2026-09-01-005
1,3,270,images/1/IMG_8640.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:23:07.701-04:00,image-355c0ceee3df8c66,session-2026-09-01-005
1,3,315,images/1/IMG_8641.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:23:23.300-04:00,image-39aab54738e96f7c,session-2026-09-01-005
2,4,0,images/2/IMG_8608.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:13:52.840-04:00,image-ce409fb38329c172,session-2026-09-01-005
2,4,45,images/2/IMG_8609.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:14:04.376-04:00,image-8090b4497c54fb07,session-2026-09-01-005
2,4,90,images/2/IMG_8610.jpg,FALSE,Apple,iPhone 16 Pro Max,FALSE,12500,1/15,1.78,6.765,2026-09-01T20:14:14.465-04:00,image-fb20908f2361be0d,session-2026-09-01-005
